Unnamed: 0,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025
Equity Capital,2940,2943,2948,2959,5922,5926,6339,6445,6765,6766,6766,13532
Reserves,195747,215556,228608,260750,287584,381186,442827,693727,772720,709106,786715,829668
Borrowings +,138761,168251,194714,217475,239843,307714,355133,278962,319158,451664,458991,369575
Other Liabilities +,91395,117736,172727,225618,277924,302804,358716,340931,399979,438346,502576,737346
Total Liabilities,428843,504486,598997,706802,811273,997630,1163015,1320065,1498622,1605882,1755048,1950121
Fixed Assets +,141417,156458,184910,198526,403885,398374,532658,541258,627798,724805,779985,1092041
CWIP,91494,166462,228697,324837,187022,179463,109106,125953,172506,293752,338855,169710
Investments,60602,76451,84015,82899,82862,235635,276767,364828,394264,235560,225672,242381
Other Assets +,135330,105115,101375,100540,137504,184158,244484,288026,304054,351765,410536,445989
Total Assets,428843,504486,598997,706802,811273,997630,1163015,1320065,1498622,1605882,1755048,1950121
