Unnamed: 0,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025
Revenue +,61.0,118.0,199.0,244.0,287.0,530.0,767.0,776.0,942.0,1184.0,1589.0,1954.0
Interest,28.0,55.0,95.0,115.0,123.0,190.0,276.0,366.0,357.0,437.0,626.0,848.0
Expenses +,20.0,37.0,76.0,114.0,181.0,259.0,414.0,460.0,786.0,700.0,843.0,1180.0
Financing Profit,13.0,26.0,28.0,15.0,-18.0,81.0,76.0,-49.0,-201.0,47.0,120.0,-73.0
Financing Margin %,21.0,22.0,14.0,6.0,-6.0,15.0,10.0,-6.0,-21.0,4.0,8.0,-4.0
Other Income +,0.0,0.0,1.0,11.0,38.0,67.0,87.0,76.0,94.0,97.0,219.0,217.0
Depreciation,0.0,1.0,1.0,2.0,5.0,6.0,10.0,15.0,19.0,43.0,51.0,0.0
Profit before tax,13.0,25.0,27.0,24.0,16.0,143.0,154.0,12.0,-127.0,101.0,288.0,144.0
Tax %,32.0,34.0,0.0,37.0,36.0,37.0,28.0,2.0,-27.0,23.0,25.0,20.0
Net Profit +,9.0,17.0,27.0,15.0,10.0,90.0,111.0,12.0,-93.0,78.0,216.0,115.0
EPS in Rs,3.3,5.11,7.16,2.36,1.5,11.08,12.81,1.12,-8.76,7.32,20.34,10.82
Dividend Payout %,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
